Dates;PETR4 BZ Equity;VALE3 BZ Equity;ITUB4 BZ Equity;BBDC4 BZ Equity;SUZB3 BZ Equity;CYRE3 BZ Equity;EMBR3 BZ Equity;SOMA3 BZ Equity;SMFT3 BZ Equity;JBSS3 BZ Equity;GGBR4 BZ Equity;CPLE6 BZ Equity;RENT3 BZ Equity;IBOV Index
18/09/2023;0,007056777;-0,011861849;-0,002541297;0;-0,00917964;0,006436804;0,01289617;-0,014598799;0,018366422;-0,013301606;-0,03312658;-0,021170707;-0,005662425;-0,003959747
19/09/2023;0,002341236;0,001889947;-0,012804272;-0,011459512;0,013927536;-0,01152352;-0,022536165;-0,033993756;-0,015518769;-0,001608148;-0,014100779;0,01342302;-0,001005547;-0,003747284
20/09/2023;0,002335767;0,006658971;0,016794845;0,004059545;0,039198851;0,0211017;0,020863458;0,009635312;0,0037843;-0,001073537;0,015302962;0,00332779;-0,002501491;0,007183053
21/09/2023;-0,015577097;-0,026461598;-0,023073721;-0,037844213;0,020199064;-0,028547058;-0,020293819;-0,069482228;-0,027766264;-0,016242913;-0,023485873;0;-0,02096114;-0,021720033
22/09/2023;0,007965819;0,007380107;-0,002596922;-0,007743791;-0,011311728;-0,026504154;-0,000569638;-0,029808466;-0,010737048;-0,005473467;-0,005327821;-0,00332779;-0,006181522;-0,00117517
25/09/2023;0,006444076;-0,020803128;0,002967361;-0,002830858;-0,003074421;-0,013034218;-0,025975486;0,019476271;0,001470949;-0,00605562;0,005721347;0,012148134;-0,004830551;-0,000724605
26/09/2023;-0,023335869;-0,015738824;-0,01492565;-0,010687669;-0,015515507;-0,027587957;0,001168907;-0,043979794;-0,030343039;-0,015021145;0,001228773;-0,014372829;-0,009188533;-0,015046301
27/09/2023;0,031188171;0,002133172;-0,001881468;-0,002869442;-0,005349086;-0,006012042;-0,009979537;-0,015625318;0,012547216;-0,009574841;0,000834704;-0,029380644;-0,013170729;0,001169436
28/09/2023;-0,002029869;0,015106027;0,026023773;0,023430252;-0,004448571;0,010000083;0,01173034;0,035579932;0,037684909;0,006205944;-0,006153866;0,023797157;0,010539887;0,012203258
29/09/2023;0,005500086;0,013107128;-0,001468968;0,003502631;0,008324902;0,008422145;0,004073325;0,010582109;0,032138872;0,015071455;-0,007037048;0,003353832;0,024889202;0,007184057
02/10/2023;-0,015125361;-0,008768727;-0,009972382;-0,01408474;-0,001105991;-0,016414196;-0,004073325;-0,028987537;-0,000465224;-0,001108648;-0,014577591;-0,037525722;-0,035801869;-0,013024075
03/10/2023;-0,00440594;-0,006139122;-0,012700955;-0,013566791;0,019361335;-0,040425049;-0,013501819;-0,041080026;-0,042296635;0,006633523;-0,020854803;-0,018713996;-0,025097947;-0,014337163
04/10/2023;-0,040552185;-0,010721129;0,022673337;0,033230346;-0,005077994;0,027808177;-0,012489012;0,008032172;0,02634883;0,003300333;-0,012495302;-0,008298803;0,007960656;0,001659807
05/10/2023;0,003366491;0,000455339;0,015679446;0,004163781;0,004716134;-0,025200614;-0,002396646;-0,027576768;-0,01236933;0;-0,014451498;-0,005970167;-0,000722726;-0,002850439
06/10/2023;0,023551813;0,014462439;0,00936269;0,002075407;0,016867437;-0,015219396;0,002994911;-0,011579947;-0,011555256;-0,002199011;0;-0,001198322;-0,017081033;0,007786679
09/10/2023;0,042074567;-0,007205075;-0,008639363;-0,009024705;0,008857454;0,008425537;0,004773279;0,016502025;0,026285862;0,011491235;-0,006212354;0,009546612;0,002552404;0,008603014
10/10/2023;0,007411664;0,006007828;-0,001085187;0,011095814;-0,00441892;0,0340239;0,034516442;0,027443207;0,038403979;0,022061696;0,002659576;0,01415118;0,024742709;0,013634774
11/10/2023;-0,002559364;0,008647735;0,01258783;0,014378885;0,003536697;-0,001014199;0,004589796;-0,03566018;0,003172448;0,020021744;-0,003085765;0,001170275;-0,008588679;0,002684403
12/10/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/10/2023;0,032495856;-0,011496954;-0,010418632;-0,015068778;0,033159882;-0,040378156;-0,026683718;-0,075378136;-0,082496697;-0,010487773;-0,008508413;-0,021277398;-0,032927578;-0,011139575
16/10/2023;0,010965022;0,010605821;0,001443522;0,010298752;-0,020530351;0,00894037;0,033529152;-0,003565066;-0,003445733;0,012572193;0,00936061;0,008328424;-0,008201986;0,006713848
17/10/2023;0,026632374;0,00813915;-0,014895825;-0,010298752;0,001741554;-0,022234902;0,005668949;-0,025317808;-0,018915447;-0,009414295;-0,00936061;-0,0155227;-0,006773164;-0,005381306
18/10/2023;0,022313565;-0,037388936;-0,021084561;-0,009012193;-0,02448383;-0,035416396;0,007882924;-0,041127291;-0,02751065;0,010454878;-0,030445911;-0,026830878;-0,036906265;-0,016079013
19/10/2023;-0,004683849;-0,014486307;0,011522149;0,004862809;-0,001784759;0,012675838;0;0,01702974;-0,002585985;-0,013612776;-0,001386002;0,029234725;0;-0,000485303
20/10/2023;-0,012862758;-0,027381726;-0,003702337;-0,018888285;-0,019481136;0,001094691;-0,004496916;0,003745323;-0,000518001;0,012051495;-0,008356595;0,002398083;-0,001375922;-0,007475132
23/10/2023;-0,068332588;-0,001916321;0,001112141;0,001411433;-0,009149195;0,012503561;0,008415197;0,038501547;0,013381569;0,010362787;0,014330394;0,002392346;0,014023941;-0,003281939
24/10/2023;0,014881645;0,022600725;0;0;-0,035360526;0,009142306;-0,006164211;0,019591009;0,0192411;-0,003097576;-0,009697785;0,003577821;0,017057614;0,008628572
25/10/2023;0,005281458;-0,000938086;0,001850824;-0,002824861;0,001712492;-0,014559438;-0,007900718;-0,032260862;-0,030035345;-0,002070394;-0,003682013;-0,013181737;-0,024045001;-0,008225672
26/10/2023;-0,010310806;0,021203302;0,024476108;0,025140989;0,002089071;0,033648034;0,016854332;0,030495637;0,037031875;0,034126052;0,015693338;0,037874349;0,016984189;0,0171079
27/10/2023;-0,007309563;0,034172061;-0,014906657;-0,010398707;-0,015101118;-0,045120435;-0,032845535;-0,07139353;-0,054759138;-0,004516946;0,001374571;-0,010507978;-0,03505703;-0,012938812
30/10/2023;-0,010209958;0,008987169;-0,008091254;-0,011212451;-0,005213877;-0,019978467;0,00057554;-0,040663879;-0,015372685;0,001507917;0,001811545;-0,017762456;-0,002588766;-0,006817723
31/10/2023;-0,009739407;0,011955238;-0,00964757;-0,014194702;-0,001550088;0,008372921;0,012010439;0,044451763;0,034133006;0,006009032;-0,005003447;0,002386636;0,011064736;0,005425067
01/11/2023;0,010879008;0,018949749;0,013333531;0,009249443;-0,002329646;0,016538414;0,020259556;0,022430847;0,019934215;0,021240611;0,018621699;0,024721683;0,020436559;0,016734117
02/11/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/11/2023;0,011888054;0,012436565;0,027219971;0,045005864;-0,005652486;0,07274017;0,03879208;0,083307669;0,058001513;0,018882188;0,029795675;0,013857035;0,054169923;0,02664684
06/11/2023;-0,000844476;0,004204631;0,009265925;-0,000677277;0,014168117;-0,006119346;-0,002145924;-0,059562261;-0,050941474;0,022291651;0,011746722;0,013667639;-0,014694353;0,002293239
07/11/2023;-0,016754616;-0,020060003;0,027638632;0,026079713;0,003270806;0,031221066;-0,014606697;0,07307598;0,046154485;0,016744577;-0,013954809;0,012366656;0,024311563;0,007040941
08/11/2023;-0,021711665;0,000713216;0,004475821;0,005266635;0,027097821;-0,006965202;0,038486845;-0,02548991;-0,003846159;-0,008337241;-0,004853866;-0,011236073;0,002896139;-0,000766551
09/11/2023;0,020565533;0,004836425;0,004455877;0,001967859;-0,001122335;0,000998004;-0,011603506;0,063354516;0,006721101;-0,020202707;0,001321318;-0,003395589;-0,004510755;-0,001196671
